ID,Title,URL Title,Reward,Start Time,End Time,Enrolled,Submitted,Female Participation,Count of non empty gender,Female Participation (%),Submissions,Countries,Countries in Developing countries (151),Count of users in developing countries,Number of hours worked,Number of Discussions,Number of Comments made
344,Next-Gen WiFi Throughput Prediction Challenge,www.zindi.africa/competitions/next-gen-wifi-throughput-prediction-challenge,$1 000 USD,09/12/2022 14:00,31/12/2022 23:59,213,56,16,201,7.96%,517,41,35,184,1551,14,
370,Title Extraction in Lecture Slides Challenge,www.zindi.africa/competitions/title-extraction-in-lecture-slides-challenge,3 000 Zindi Points,26/04/2023 06:00,11/06/2023 23:59,159,26,21,150,14.00%,383,37,28,137,1149,5,
391,QoS Prediction Challenge,www.zindi.africa/competitions/qos-prediction-challenge,3 000 Zindi Points,02/06/2023 06:00,15/07/2023 23:59,257,129,30,246,12.20%,2603,40,32,227,7809,6,
401,GeoAI Challenge for Landslide Susceptibility Mapping,www.zindi.africa/competitions/geo-ai-challenge-for-landslide-susceptibility-mapping,$1 000 USD,30/06/2023 12:00,05/10/2023 12:00,211,20,19,192,9.90%,268,52,40,167,804,6,
402,GeoAI Challenge for Cropland Mapping,www.zindi.africa/competitions/geo-ai-challenge-for-cropland-mapping-with-satellite-imagery,$4 000 USD,30/06/2023 12:00,05/10/2023 23:59,362,74,30,334,8.98%,2213,64,50,287,6639,24,
408,GeoAI Challenge for Air Pollution Susceptibility Mapping,www.zindi.africa/competitions/geoai-challenge-for-air-pollution-susceptibility-mapping,$1 000 USD,21/07/2023 06:00,14/10/2023 23:59,220,35,25,206,12.14%,266,49,36,182,798,10,
412,GeoAI Challenge Estimating Soil Parameters from Hyperspectral Images,www.zindi.africa/competitions/geoai-challenge-estimating-soil-parameters-from-hyperspectral-images,$1 000 USD,11/09/2023 06:00,12/11/2023 23:59,217,62,31,199,15.58%,1054,43,36,164,3162,17,
413,GeoAI Challege Location Mention Recognition from Social Media,www.zindi.africa/competitions/geoai-challege-location-mention-recognition-from-social-media,1 000 CHF,19/07/2023 06:00,22/10/2023 23:59,150,28,11,143,7.69%,548,38,36,130,1644,15,
414,Network Traffic Scenario Prediction Challenge,www.zindi.africa/competitions/network-traffic-scenario-prediction-challenge,$1 000 USD,28/07/2023 06:00,10/09/2023 23:59,371,115,35,346,10.12%,1102,63,51,309,3306,17,
415,AI/ML for 5G-Energy Consumption Modelling,www.zindi.africa/competitions/aiml-for-5g-energy-consumption-modelling,20 000 CHF,26/07/2023 06:00,13/10/2023 23:59,988,278,106,899,11.79%,7766,92,68,772,23298,104,
416,Multi-Machine Disruption Prediction Challenge for Fusion Energy,www.zindi.africa/competitions/multi-machine-disruption-prediction-challenge,$5 000 USD,26/07/2023 06:00,12/11/2023 23:59,416,55,32,350,9.14%,771,60,42,311,2313,25,
418,Fault Impact Analysis: Towards Service-Oriented Network Operation & Maintenance,www.zindi.africa/competitions/fault-impact-analysis-towards-service-oriented-network-operation-maintenance,8 000 CHF,26/07/2023 06:00,18/08/2023 23:59,263,89,20,247,8.10%,4082,53,40,215,12246,44,
454,ITU Digital Financial Services Blockchain Secure Authentication Application Challenge,www.zindi.africa/competitions/itu-digital-financial-services-blockchain-secure-authentication-application-challenge,$10 000 USD,02/05/2024 06:00,26/08/2024 23:59,185,32,32,238,13.45%,21,37,36,221,63,42,
467,Specializing Large Language Models for Telecom Networks,www.zindi.africa/competitions/specializing-large-language-models-for-telecom-networks,€6 000 EUR,07/05/2024 06:00,26/07/2024 23:59,457,131,60,482,12.45%,1325,60,45,407,3975,88,
468,‘AIntuition’: Retrieval Augmented Generation (RAG) for Public Services and Administration Tasks,www.zindi.africa/competitions/retrieval-augmented-generation-rag-for-public-services-and-administration-tasks,$1 500 USD,16/05/2024 23:59,17/05/2024 23:59,206,21,30,217,13.82%,33,35,30,207,99,17,
488,GeoAI Ground-level NO2 Estimation Challenge,www.zindi.africa/competitions/geoai-ground-level-no2-estimation-challenge,1 000 CHF,22/05/2024 06:00,15/11/2024 23:59,804,372,91,804,11.32%,8826,81,63,647,26478,49,
491,GeoAI Agricultural Plastic Cover Mapping with Satellite Imagery,www.zindi.africa/competitions/geoai-challenge-for-agricultural-plastic-cover-mapping-with-satellite-imagery,1 000 CHF,12/06/2024 06:00,11/11/2024 23:59,365,78,41,355,11.55%,1605,65,51,294,4815,12,
493,GeoAI Amazon Basin Secret Runway Detection Challenge,www.zindi.africa/competitions/geoai-amazon-basin-secret-runway-detection-challenge,2 000 CHF,09/08/2024 10:00,11/11/2024 23:59,393,26,53,379,13.98%,270,66,52,323,810,27,
